1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,INCUMBENT.INDICATOR..I.,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
4174,TX,Texas,,n/a,,,,DISTRICT 16,,,,,,,,,,,,,,
4175,TX,Texas,16,H2TX16185,,Beto,O'Rourke,"O'Rourke, Beto",,D,23261,50.47%,,,101403,65.42%,,,,,W,
4176,TX,Texas,16,H6TX00115,(I),Silvestre,Reyes,"Reyes, Silvestre",,D,20440,44.35%,,,,,,,,,,
4177,TX,Texas,16,H2TX16227,,Jerome,Tilghman,"Tilghman, Jerome",,D,1270,2.76%,,,,,,,,,,
4178,TX,Texas,16,H6TX16111,,"Ben E. ""(Buddy)""",Mendoza,"Mendoza, Ben E. ""(Buddy)""",,D,701,1.52%,,,,,,,,,,
4179,TX,Texas,16,H2TX16219,,"Paul, Jr.",Johnson,"Johnson, Paul, Jr.",,D,419,0.91%,,,,,,,,,,
4180,TX,Texas,16,n/a,,,,,Party Votes:,D,46091,,,,,,,,,,,
4181,TX,Texas,16,H2TX16193,,Barbara,Carrasco,"Carrasco, Barbara",,R,5268,58.87%,,,51043,32.93%,,,,,,
4182,TX,Texas,16,H2TX16201,,Corey Dean,Roen,"Roen, Corey Dean",,R,3681,41.13%,,,,,,,,,,
4183,TX,Texas,16,n/a,,,,,Party Votes:,R,8949,,,,,,,,,,,
4184,TX,Texas,16,H2TX16235,,Junart,Sodoy,"Sodoy, Junart",,LIB,*,,,,2559,1.65%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4185,TX,Texas,16,n/a,,,,,District Votes:,,55040,,,,155005,,,,,,,
4186,TX,Texas,,n/a,,,,DISTRICT 17,,,,,,,,,,,,,,
4187,TX,Texas,17,H0TX17104,(I),Bill,Flores,"Flores, Bill",,R,41449,82.50%,,,143284,79.93%,,,,,W,
4188,TX,Texas,17,H2TX17068,,George W.,Hindman,"Hindman, George W.",,R,8790,17.50%,,,,,,,,,,
4189,TX,Texas,17,n/a,,,,,Party Votes:,R,50239,,,,,,,,,,,
4190,TX,Texas,17,H2TX17076,,Ben,Easton,"Easton, Ben",,LIB,*,,,,35978,20.07%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4191,TX,Texas,17,n/a,,,,,District Votes:,,50239,,,,179262,,,,,,,
4192,TX,Texas,,n/a,,,,DISTRICT 18,,,,,,,,,,,,,,
4193,TX,Texas,18,H4TX18054,(I),Sheila,Jackson Lee,"Jackson Lee, Sheila",,D,21171,100.00%,,,146223,75.01%,,,,,W,
4194,TX,Texas,18,n/a,,,,,Party Votes:,D,21171,,,,,,,,,,,
4195,TX,Texas,18,H2TX18140,,Sean,Seibert,"Seibert, Sean",,R,7493,100.00%,,,44015,22.58%,,,,,,
4196,TX,Texas,18,n/a,,,,,Party Votes:,R,7493,,,,,,,,,,,
4197,TX,Texas,18,H2TX18157,,Christopher,Barber,"Barber, Christopher",,LIB,*,,,,4694,2.41%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4198,TX,Texas,18,n/a,,,,,District Votes:,,28664,,,,194932,,,,,,,
4199,TX,Texas,,n/a,,,,DISTRICT 19,,,,,,,,,,,,,,
4200,TX,Texas,19,H4TX19102,(I),Randy,Neugebauer,"Neugebauer, Randy",,R,45444,74.31%,,,163239,84.99%,,,,,W,
4201,TX,Texas,19,H2TX19064,,Chris,Winn,"Winn, Chris",,R,15707,25.69%,,,,,,,,,,
4202,TX,Texas,19,n/a,,,,,Party Votes:,R,61151,,,,,,,,,,,
4203,TX,Texas,19,H4TX19235,,Richard (Chip),Peterson,"Peterson, Richard (Chip)",,LIB,*,,,,28824,15.01%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4204,TX,Texas,19,n/a,,,,,District Votes:,,61151,,,,192063,,,,,,,
4205,TX,Texas,,n/a,,,,DISTRICT 20,,,,,,,,,,,,,,
4206,TX,Texas,20,H2TX35011,,Joaquin,Castro,"Castro, Joaquin",,D,16562,100.00%,,,119032,63.93%,,,,,W,
4207,TX,Texas,20,n/a,,,,,Party Votes:,D,16562,,,,,,,,,,,
4208,TX,Texas,20,H2TX20039,,David,Rosa,"Rosa, David",,R,9582,100.00%,,,62376,33.50%,,,,,,
4209,TX,Texas,20,n/a,,,,,Party Votes:,R,9582,,,,,,,,,,,
4210,TX,Texas,20,H2TX20054,,A.E. (Tracy),Potts,"Potts, A.E. (Tracy)",,LIB,*,,,,3143,1.69%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4211,TX,Texas,20,H2TX20062,,Antonio,Diaz,"Diaz, Antonio",,GRE,*,,,,1626,0.87%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4212,TX,Texas,20,n/a,,,,,District Votes:,,26144,,,,186177,,,,,,,
4213,TX,Texas,,n/a,,,,DISTRICT 21,,,,,,,,,,,,,,
4214,TX,Texas,21,H6TX21012,(I),Lamar,Smith,"Smith, Lamar",,R,52404,76.63%,,,187015,60.55%,,,,,W,
4215,TX,Texas,21,H2TX21078,,Richard,Mack,"Mack, Richard",,R,10111,14.79%,,,,,,,,,,
4216,TX,Texas,21,H2TX21094,,Richard,Morgan,"Morgan, Richard",,R,5868,8.58%,,,,,,,,,,
4217,TX,Texas,21,n/a,,,,,Party Votes:,R,68383,,,,,,,,,,,
4218,TX,Texas,21,H2TX21086,,Candace E.,Duval,"Duval, Candace E.",,D,9522,61.07%,,,109326,35.40%,,,,,,
4219,TX,Texas,21,H2TX21102,,Daniel,Boone,"Boone, Daniel",,D,6070,38.93%,,,,,,,,,,
4220,TX,Texas,21,n/a,,,,,Party Votes:,D,15592,,,,,,,,,,,
4221,TX,Texas,21,H2TX21110,,John-Henry,Liberty,"Liberty, John-Henry",,LIB,*,,,,12524,4.05%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4222,TX,Texas,21,n/a,,,,,District Votes:,,83975,,,,308865,,,,,,,
4223,TX,Texas,,n/a,,,,DISTRICT 22,,,,,,,,,,,,,,
4224,TX,Texas,22,H8TX22107,(I),Pete,Olson,"Olson, Pete",,R,35838,76.48%,,,160668,64.03%,,,,,W,
4225,TX,Texas,22,H2TX22100,,Barbara J.,Carlson,"Carlson, Barbara J.",,R,11019,23.52%,,,,,,,,,,
4226,TX,Texas,22,n/a,,,,,Party Votes:,R,46857,,,,,,,,,,,
4227,TX,Texas,22,H0TX22112,,Kesha,Rogers,"Rogers, Kesha",,D,3666,50.71%,,,80203,31.96%,,,,,,
4228,TX,Texas,22,H2TX22092,,KP,George,"George, KP",,D,3563,49.29%,,,,,,,,,,
4229,TX,Texas,22,n/a,,,,,Party Votes:,D,7229,,,,,,,,,,,
4230,TX,Texas,22,H0TX22138,,Steven,Susman,"Susman, Steven",,LIB,*,,,,5986,2.39%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4231,TX,Texas,22,H2TX22126,,Don,Cook,"Cook, Don",,GRE,*,,,,4054,1.62%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4232,TX,Texas,22,n/a,,,,,District Votes:,,54086,,,,250911,,,,,,,
4233,TX,Texas,,n/a,,,,DISTRICT 23,,,,,,,,,,,,,,
4234,TX,Texas,23,H2TX23124,,Pete P.,Gallego,"Gallego, Pete P.",,D,16202,40.83%,15815,54.81%,96676,50.31%,,,,,W,
4235,TX,Texas,23,H8TX28013,,Ciro D.,Rodriguez,"Rodriguez, Ciro D.",,D,18237,45.96%,13038,45.19%,,,,,,,,
4236,TX,Texas,23,H2TX23116,,John M.,Bustamante,"Bustamante, John M.",,D,5240,13.21%,,,,,,,,,,
4237,TX,Texas,23,n/a,,,,,Party Votes:,D,39679,,28853,,,,,,,,,
4238,TX,Texas,23,H4TX28046,(I),"Francisco ""Quico""",Canseco,"Canseco, Francisco ""Quico""",,R,17438,100.00%,,,87547,45.56%,,,,,,
4239,TX,Texas,23,n/a,,,,,Party Votes:,R,17438,,,,,,,,,,,
4240,TX,Texas,23,H8TX21125,,Jeffrey C.,Blunt,"Blunt, Jeffrey C.",,LIB,*,,,,5841,3.04%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4241,TX,Texas,23,H2TX23090,,Ed,Scharf,"Scharf, Ed",,GRE,*,,,,2105,1.10%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4242,TX,Texas,23,n/a,,,,,District Votes:,,57117,,28853,,192169,,,,,,,
4243,TX,Texas,,n/a,,,,DISTRICT 24,,,,,,,,,,,,,,
4244,TX,Texas,24,H4TX24094,(I),Kenny E.,Marchant,"Marchant, Kenny E.",,R,27926,67.93%,,,148586,61.02%,,,,,W,
4245,TX,Texas,24,H2TX00114,,Grant,Stinchfield,"Stinchfield, Grant",,R,13184,32.07%,,,,,,,,,,
4246,TX,Texas,24,n/a,,,,,Party Votes:,R,41110,,,,,,,,,,,
4247,TX,Texas,24,H2TX24122,,Tim,Rusk,"Rusk, Tim",,D,5267,100.00%,,,87645,36.00%,,,,,,
4248,TX,Texas,24,n/a,,,,,Party Votes:,D,5267,,,,,,,,,,,
4249,TX,Texas,24,H2TX24130,,John,Stathas,"Stathas, John",,LIB,*,,,,7258,2.98%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4250,TX,Texas,24,n/a,,,,,District Votes:,,46377,,,,243489,,,,,,,
4251,TX,Texas,,n/a,,,,DISTRICT 25,,,,,,,,,,,,,,
4252,TX,Texas,25,H2TX33040,,Roger,Williams,"Williams, Roger",,R,12894,25.11%,26495,57.97%,154245,58.44%,,,,,W,
4253,TX,Texas,25,H4TX11026,,Wes,Riddle,"Riddle, Wes",,R,7481,14.57%,19210,42.03%,,,,,,,,
4254,TX,Texas,25,H2TX25251,,Justin,Hewlett,"Hewlett, Justin",,R,6178,12.03%,,,,,,,,,,
4255,TX,Texas,25,H2TX25210,,Dave,Garrison,"Garrison, Dave",,R,6133,11.95%,,,,,,,,,,
4256,TX,Texas,25,H2TX33032,,Michael,Williams,"Williams, Michael",,R,5392,10.50%,,,,,,,,,,
4257,TX,Texas,25,H2TX26150,,Dianne,Costa,"Costa, Dianne",,R,4810,9.37%,,,,,,,,,,
4258,TX,Texas,25,H2TX25228,,Brian,Matthews,"Matthews, Brian",,R,1824,3.55%,,,,,,,,,,
4259,TX,Texas,25,H2TX25285,,Charlie,Holcomb,"Holcomb, Charlie",,R,1690,3.29%,,,,,,,,,,
4260,TX,Texas,25,H2TX25236,,Chad,Wilbanks,"Wilbanks, Chad",,R,1593,3.10%,,,,,,,,,,
4261,TX,Texas,25,H6TX12078,,Bill,Burch,"Burch, Bill",,R,1575,3.07%,,,,,,,,,,
4262,TX,Texas,25,H2TX25277,,"James ""Patriot""",Dillon,"Dillon, James ""Patriot""",,R,1174,2.29%,,,,,,,,,,
4263,TX,Texas,25,H2TX10097,,"Ernie, Jr.",Beltz,"Beltz, Ernie, Jr.",,R,596,1.16%,,,,,,,,,,
4264,TX,Texas,25,n/a,,,,,Party Votes:,R,51340,,45705,,,,,,,,,
4265,TX,Texas,25,H2TX25269,,Elaine M.,Henderson,"Henderson, Elaine M.",,D,13465,100.00%,,,98827,37.44%,,,,,,
4266,TX,Texas,25,n/a,,,,,Party Votes:,D,13465,,,,,,,,,,,
4267,TX,Texas,25,H2TX25293,,Betsy,Dewey,"Dewey, Betsy",,LIB,*,,,,10860,4.11%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4268,TX,Texas,25,n/a,,,,,District Votes:,,64805,,45705,,263932,,,,,,,
4269,TX,Texas,,n/a,,,,DISTRICT 26,,,,,,,,,,,,,,
4270,TX,Texas,26,H2TX26093,(I),Michael,Burgess,"Burgess, Michael",,R,33605,100.00%,,,176642,68.27%,,,,,W,
4271,TX,Texas,26,n/a,,,,,Party Votes:,R,33605,,,,,,,,,,,
4272,TX,Texas,26,H2TX26168,,David,Sanchez,"Sanchez, David",,D,3682,100.00%,,,74237,28.69%,,,,,,
4273,TX,Texas,26,n/a,,,,,Party Votes:,D,3682,,,,,,,,,,,
4274,TX,Texas,26,H0TX26105,,Mark,Boler,"Boler, Mark",,LIB,*,,,,7844,3.03%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4275,TX,Texas,26,n/a,,,,,District Votes:,,37287,,,,258723,,,,,,,
4276,TX,Texas,,n/a,,,,DISTRICT 27,,,,,,,,,,,,,,
4277,TX,Texas,27,H0TX27061,(I),Blake,Farenthold,"Farenthold, Blake",,R,28058,70.78%,,,120684,56.75%,,,,,W,
4278,TX,Texas,27,H2TX27240,,Trey,Roberts,"Roberts, Trey",,R,4653,11.74%,,,,,,,,,,
4279,TX,Texas,27,H2TX27174,,Don Al,Middlebrook,"Middlebrook, Don Al",,R,3676,9.27%,,,,,,,,,,
4280,TX,Texas,27,H2TX34063,,John,Grunwald,"Grunwald, John",,R,3256,8.21%,,,,,,,,,,
4281,TX,Texas,27,n/a,,,,,Party Votes:,R,39643,,,,,,,,,,,
4282,TX,Texas,27,H2TX27133,,Rose Meza,Harrison,"Harrison, Rose Meza",,D,6354,30.70%,7024,60.61%,83395,39.22%,,,,,,
4283,TX,Texas,27,H2TX27224,,Jerry J.,Trevino,"Trevino, Jerry J.",,D,8231,39.77%,4565,39.39%,,,,,,,,
4284,TX,Texas,27,H2TX27216,,Ronnie C.,McDonald,"McDonald, Ronnie C.",,D,5682,27.45%,,,,,,,,,,
4285,TX,Texas,27,H2TX27232,,Murphy Alade,Junaid,"Junaid, Murphy Alade",,D,432,2.09%,,,,,,,,,,
4286,TX,Texas,27,n/a,,,,,Party Votes:,D,20699,,11589,,,,,,,,,
4287,TX,Texas,27,H2TX27257,,Bret,Baldwin,"Baldwin, Bret",,IND,,,,,5354,2.52%,,,,,,
4288,TX,Texas,27,H2TX27265,,Corrie,Byrd,"Byrd, Corrie",,LIB,*,,,,3218,1.51%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4289,TX,Texas,27,n/a,,,,,District Votes:,,60342,,11589,,212651,,,,,,,
4290,TX,Texas,,n/a,,,,DISTRICT 28,,,,,,,,,,,,,,
4291,TX,Texas,28,H2TX23082,(I),Henry,Cuellar,"Cuellar, Henry",,D,35350,100.00%,,,112456,67.89%,,,,,W,
4292,TX,Texas,28,n/a,,,,,Party Votes:,D,35350,,,,,,,,,,,
4293,TX,Texas,28,H2TX28057,,William R.,Hayward,"Hayward, William R.",,R,9710,100.00%,,,49309,29.77%,,,,,,
4294,TX,Texas,28,n/a,,,,,Party Votes:,R,9710,,,,,,,,,,,
4295,TX,Texas,28,H2TX28065,,Patrick,Hisel,"Hisel, Patrick",,LIB,*,,,,2473,1.49%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4296,TX,Texas,28,H2TX28073,,Michael D.,Cary,"Cary, Michael D.",,GRE,*,,,,1407,0.85%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4297,TX,Texas,28,n/a,,,,,District Votes:,,45060,,,,165645,,,,,,,
4298,TX,Texas,,n/a,,,,DISTRICT 29,,,,,,,,,,,,,,
4299,TX,Texas,29,H2TX29030,(I),Gene,Green,"Green, Gene",,D,10667,100.00%,,,86053,90.00%,,,,,W,
4300,TX,Texas,29,n/a,,,,,Party Votes:,D,10667,,,,,,,,,,,
4301,TX,Texas,29,H2TX29105,,James,Stanczak,"Stanczak, James",,LIB,*,,,,4996,5.23%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4302,TX,Texas,29,H2TX29113,,Maria,Selva,"Selva, Maria",,GRE,*,,,,4562,4.77%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4303,TX,Texas,29,n/a,,,,,District Votes:,,10667,,,,95611,,,,,,,
4304,TX,Texas,,n/a,,,,DISTRICT 30,,,,,,,,,,,,,,
4305,TX,Texas,30,H2TX00015,(I),Eddie Bernice,Johnson,"Johnson, Eddie Bernice",,D,23346,70.06%,,,171059,78.82%,,,,,W,
4306,TX,Texas,30,H2TX30079,,Barbara Mallory,Caraway,"Caraway, Barbara Mallory",,D,5996,17.99%,,,,,,,,,,
4307,TX,Texas,30,H2TX30087,,Taj,Clayton,"Clayton, Taj",,D,3981,11.95%,,,,,,,,,,
4308,TX,Texas,30,n/a,,,,,Party Votes:,D,33323,,,,,,,,,,,
4309,TX,Texas,30,H2TX30095,,"Travis, Jr.",Washington,"Washington, Travis, Jr.",,R,6260,100.00%,,,41222,19.00%,,,,,,
4310,TX,Texas,30,n/a,,,,,Party Votes:,R,6260,,,,,,,,,,,
4311,TX,Texas,30,H2TX30103,,Ed,Rankin,"Rankin, Ed",,LIB,*,,,,4733,2.18%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4312,TX,Texas,30,n/a,,,,,District Votes:,,39583,,,,217014,,,,,,,
4313,TX,Texas,,n/a,,,,DISTRICT 31,,,,,,,,,,,,,,
4314,TX,Texas,31,H2TX31044,(I),John R.,Carter,"Carter, John R.",,R,32917,75.99%,,,145348,61.28%,,,,,W,
4315,TX,Texas,31,H2TX31127,,Eric,Klingemann,"Klingemann, Eric",,R,10400,24.01%,,,,,,,,,,
4316,TX,Texas,31,n/a,,,,,Party Votes:,R,43317,,,,,,,,,,,
4317,TX,Texas,31,H0TX21072,,Stephen M.,Wyman,"Wyman, Stephen M.",,D,5864,100.00%,,,82977,34.98%,,,,,,
4318,TX,Texas,31,n/a,,,,,Party Votes:,D,5864,,,,,,,,,,,
4319,TX,Texas,31,H2TX31135,,Ethan,Garofolo,"Garofolo, Ethan",,LIB,*,,,,8862,3.74%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4320,TX,Texas,31,n/a,,,,,District Votes:,,49181,,,,237187,,,,,,,
4321,TX,Texas,,n/a,,,,DISTRICT 32,,,,,,,,,,,,,,
4322,TX,Texas,32,H2TX03126,(I),Pete,Sessions,"Sessions, Pete",,R,29523,100.00%,,,146653,58.28%,,,,,W,
4323,TX,Texas,32,n/a,,,,,Party Votes:,R,29523,,,,,,,,,,,
4324,TX,Texas,32,H2TX32067,,Katherine Savers,McGovern,"McGovern, Katherine Savers",,D,7301,84.20%,,,99288,39.46%,,,,,,
4325,TX,Texas,32,H2TX32026,,Walter,Hofheinz,"Hofheinz, Walter",,D,1370,15.80%,,,,,,,,,,
4326,TX,Texas,32,n/a,,,,,Party Votes:,D,8671,,,,,,,,,,,
4327,TX,Texas,32,H2TX32075,,Seth Jewel,Hollist,"Hollist, Seth Jewel",,LIB,*,,,,5695,2.26%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4328,TX,Texas,32,n/a,,,,,District Votes:,,38194,,,,251636,,,,,,,
4329,TX,Texas,,n/a,,,,DISTRICT 33,,,,,,,,,,,,,,
4330,TX,Texas,33,H2TX33073,,Marc,Veasey,"Veasey, Marc",,D,6938,36.77%,10766,52.73%,85114,72.51%,,,,,W,
4331,TX,Texas,33,H2TX33131,,Domingo,Garcia,"Garcia, Domingo",,D,4715,24.99%,9653,47.27%,,,,,,,,
4332,TX,Texas,33,H2TX33081,,Kathleen,Hicks,"Hicks, Kathleen",,D,2372,12.57%,,,,,,,,,,
4333,TX,Texas,33,H2TX06152,,David,Alameel,"Alameel, David",,D,2064,10.94%,,,,,,,,,,
4334,TX,Texas,33,H2TX33172,,Manuel,Valdez,"Valdez, Manuel",,D,884,4.69%,,,,,,,,,,
4335,TX,Texas,33,H2TX33180,,Steve,Salazar,"Salazar, Steve",,D,482,2.55%,,,,,,,,,,
4336,TX,Texas,33,H2TX33156,,Chrysta,Castañeda,"Castañeda, Chrysta",,D,395,2.09%,,,,,,,,,,
4337,TX,Texas,33,H2TX33164,,Jason E.,Roberts,"Roberts, Jason E.",,D,342,1.81%,,,,,,,,,,
4338,TX,Texas,33,H2TX06186,,Carlos,Quintanilla,"Quintanilla, Carlos",,D,286,1.52%,,,,,,,,,,
4339,TX,Texas,33,H2TX33206,,"Kyev P., Sr.",Tatum,"Tatum, Kyev P., Sr.",,D,201,1.07%,,,,,,,,,,
4340,TX,Texas,33,H2TX33198,,J. R.,Molina,"Molina, J. R.",,D,189,1.00%,,,,,,,,,,
4341,TX,Texas,33,n/a,,,,,Party Votes:,D,18868,,20419,,,,,,,,,
4342,TX,Texas,33,H2TX33065,,Chuck,Bradley,"Bradley, Chuck",,R,3706,63.79%,,,30252,25.77%,,,,,,
4343,TX,Texas,33,H2TX33214,,Charles,King,"King, Charles",,R,2104,36.21%,,,,,,,,,,
4344,TX,Texas,33,n/a,,,,,Party Votes:,R,5810,,,,,,,,,,,
4345,TX,Texas,33,H2TX33222,,Ed,Lindsay,"Lindsay, Ed",,GRE,*,,,,2009,1.71%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk."
4346,TX,Texas,33,n/a,,,,,District Votes:,,24678,,20419,,117375,,,,,,,
4347,TX,Texas,,n/a,,,,DISTRICT 34,,,,,,,,,,,,,,
4348,TX,Texas,34,H2TX27190,,Filemon,Vela,"Vela, Filemon",,D,18233,40.46%,15628,66.64%,89606,61.89%,,,,,W,
4349,TX,Texas,34,H2TX27158,,Denise Saenz,Blanchard,"Blanchard, Denise Saenz",,D,5810,12.89%,7824,33.36%,,,,,,,,
4350,TX,Texas,34,H2TX27166,,"Ramiro, Jr.",Garza,"Garza, Ramiro, Jr.",,D,5575,12.37%,,,,,,,,,,
4351,TX,Texas,34,H2TX27182,,Salomon,Torres,"Torres, Salomon",,D,4745,10.53%,,,,,,,,,,
4352,TX,Texas,34,H2TX27141,,Armando,Villalobos,"Villalobos, Armando",,D,3926,8.71%,,,,,,,,,,
4353,TX,Texas,34,H2TX34030,,Anthony P.,Troiani,"Troiani, Anthony P.",,D,3638,8.07%,,,,,,,,,,
4354,TX,Texas,34,H2TX34071,,Juan Angel,Guerra,"Guerra, Juan Angel",,D,2200,4.88%,,,,,,,,,,
4355,TX,Texas,34,H2TX34014,,Elmo M.,Aycock,"Aycock, Elmo M.",,D,935,2.07%,,,,,,,,,,
